"point_id","state_fips_2010","county_fips_2010","tract_2010"
1,"22","109","1202"
2,"22","109","1202"
3,"22","109","1300"
4,"22","109","1300"
5,"22","109","1300"
6,"22","109","1300"
7,"22","109","1300"
8,"22","109","1300"
9,"22","109","1300"
10,"22","109","1202"
11,"22","109","1202"
12,"22","109","1202"
13,"22","109","1300"
14,"22","109","1300"
15,"22","109","1300"
16,"22","109","1300"
17,"22","109","1202"
18,"22","109","1202"
19,"22","109","1300"
20,"22","109","1300"
21,"22","109","1300"
22,"22","109","1202"
23,"22","109","1202"
24,"22","57","21200"
25,"22","57","21200"
26,"22","57","21200"
27,"22","57","21200"
28,"22","109","1300"
29,"22","109","1300"
30,"22","109","1400"
31,"22","109","1300"
32,"22","109","1300"
33,"22","109","1400"
34,"22","109","1300"
35,"22","109","1300"
36,"22","109","1300"
37,"22","109","1300"
38,"22","109","1400"
39,"22","109","1300"
40,"22","109","1300"
41,"22","109","1300"
42,"22","109","1300"
43,"22","57","21200"
44,"22","109","1400"
45,"22","109","1400"
46,"22","109","1300"
47,"22","109","1300"
48,"22","109","1202"
49,"22","57","21200"
50,"22","109","1400"
51,"22","109","1400"
52,"22","109","1300"
53,"22","109","1300"
54,"22","109","1202"
55,"22","109","1400"
56,"22","109","1400"
57,"22","109","1400"
58,"22","109","1400"
59,"22","109","1400"
60,"22","109","1202"
61,"22","109","1202"
62,"22","109","1400"
63,"22","109","1400"
64,"22","109","1202"
65,"22","109","1202"
66,"22","109","1202"
67,"22","109","1202"
68,"22","57","21200"
69,"22","109","1400"
70,"22","109","1400"
71,"22","109","1400"
72,"22","109","1400"
73,"22","109","1400"
74,"22","109","1400"
75,"22","109","1400"
76,"22","109","1400"
77,"22","109","1300"
78,"22","109","1300"
79,"22","75","50800"
80,"22","75","50800"
81,"22","109","1400"
82,"22","109","1400"
83,"22","109","1400"
84,"22","109","1400"
85,"22","109","1400"
86,"22","75","50800"
87,"22","75","50800"
88,"22","75","50800"
89,"22","75","50800"
90,"22","75","50800"
